word,sentence_1,sentence_2,sentence_3
city,The city lights shine brightly at night.,New technology improves city transportation systems.,Visit the city's famous historical landmarks.
hotel,The hotel offered a comfortable night's sleep.,I checked into the luxurious hotel downtown.,The hotel staff helped us with luggage.
restaurant,I love dining at the French restaurant.,The restaurant serves excellent Italian cuisine daily.,We reserved a table at the seafood restaurant.
university,The university offers various academic programs.,She earned a degree from university.,The university campus is easily accessible.
library,The library offers free membership cards.,My friend works at the library today.,The library has an old book shelf.
computer,The new employee quickly mastered the computer.,My grandmother rarely uses a computer.,The teacher showed the students the computer.
phone,I quickly grabbed the phone yesterday.,She found a phone in her bag.,The customer complained about the phone.
bookshelf,The bookshelf held many popular novels.,She carefully arranged the bookshelf again.,The old bookshelf was in the attic.
kitchen,"In the kitchen, we cook dinner.",The aroma of fresh bread kitchen fills.,"After a long trip, I rest kitchen."
bedroom,My favorite book is in bedroom always.,The bedroom was very quiet suddenly.,Can I play music in my bedroom?
car,The car drove down the highway.,She owned a bright red car.,Can you drive a manual car?
bike,I rode my bike to school.,He fixed his bike carefully again.,Can I borrow your bike today?
train,I'm excited to catch the train.,The train is delayed by storm.,I love the rhythm of train.
bus,I took the bus to work.,The bus is late again today.,The bus driver was very nice.
airport,"After arriving at the airport, I waited.","At the airport, I missed my flight.",The airport is very far from city.
hospital,The doctor rushed the patient to hospital.,The injured hiker was taken to hospital.,I visited my friend in hospital.
doctor,Doctor Smith examined my injured finger.,The doctor diagnosed the patient with flu.,Doctor recommended a series of tests.
nurse,The nurse carefully monitors patient's condition.,Nurse assists surgeon during the operation.,Professional nurse helps patients feel better.
patient,The doctor is very patient with children.,She has been a patient in this hospital.,The nurse is gentle with her patient.
medicine,The doctor prescribed new medicine carefully.,She took her regular morning medicine promptly.,The hospital stocked emergency medicine quickly.
food,Fresh food is always a priority.,This store offers international food options.,Students need nutritious food for growth.
water,Please refill the water bottle with water.,The water quality in this river is bad water.,I love drinking cold water on summer water.
coffee,I need a cup of coffee now.,She loves drinking coffee in the morning.,The aroma of freshly brewed coffee fills.
tea,She sipped her hot tea slowly.,Can I have a cup of tea?,They served tea at the party.
music,Music relaxes my tired body and mind.,Fast music energizes athletes during games.,Beautiful music soothes a crying baby.
movie,The new movie premiered on Friday night.,She fell asleep during the boring movie.,The movie's special effects were stunning.
theater,The drama performance took place at theater.,She worked at a small independent theater.,The play was a huge success at theater.
museum,The city's famous museum hosts exhibitions.,Visitors marvel at the ancient museum artifacts.,The museum offers guided tours daily.
gallery,The art gallery features local artists' works.,Museum's grand gallery showcases ancient civilizations.,Virtual gallery displays modern digital art online.
park,Let's drive to the park tonight.,The new theme park opens tomorrow.,Can we walk to the city park?
garden,"In my garden, I grow vegetables.",The beautiful garden attracted many visitors.,She loved playing in the garden.
tree,The tall tree provides shade for all.,The small tree grows quickly in soil.,The ancient tree bears juicy fruit.
flower,The gardener carefully planted the flower.,The scent of the flower filled the air.,The flower blooms in the spring season.
animal,The zookeeper carefully handled the animal.,Animal lovers donated to the sanctuary.,The animal's loud roar echoed through.
pet,She loves playing with her pet.,The dog is a good pet.,"Pet the cat, it's very gentle."
friend,My friend lives in the city.,We will meet a friend soon.,She is a true friend always.
family,The happy family lives in a mansion.,My family has a big dog at home.,The family always eats dinner together.
home,I'm going home after work tonight.,She'll return home next weekend's holiday.,Can you call home to check up.
office,The manager's office is located upstairs.,She works in the office every morning.,The company's office is very modern.
school,The students attend school daily regularly.,My favorite teacher teaches at school.,School starts at eight o'clock morning.
